+-----------------------------------------------------------------------------------------------------------------+
|                                       fine-tuned-ava-with-co-cola-25temps                                       |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   1.81    |  5.91  |    2.65   |
|                                                                | rougeL | mid  |   4.61    | 14.83  |    6.70   |
|                                                                | rougeL | high |   8.37    | 26.46  |   12.16   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   13.46   | 11.70  |   11.32   |
|                                                                | rougeL | mid  |   17.69   | 16.73  |   15.44   |
|                                                                | rougeL | high |   21.73   | 21.39  |   18.93   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   10.62   | 20.00  |   11.51   |
|                                                                | rougeL | mid  |   27.50   | 40.00  |   29.30   |
|                                                                | rougeL | high |   47.00   | 60.00  |   48.14   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   2.66    | 100.00 |    5.17   |
|                                                                | rougeL | mid  |   2.96    | 100.00 |    5.74   |
|                                                                | rougeL | high |   3.34    | 100.00 |    6.44   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   2.93    | 12.50  |    4.34   |
|                                                                | rougeL | mid  |   7.18    | 22.50  |    9.71   |
|                                                                | rougeL | high |   12.78   | 32.50  |   16.32   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   1.15    |  6.24  |    1.91   |
|                                                                | rougeL | mid  |   2.22    | 11.75  |    3.72   |
|                                                                | rougeL | high |   3.31    | 17.25  |    5.53   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   2.71    | 32.50  |    5.04   |
|                                                                | rougeL | mid  |   10.98   | 50.00  |   14.10   |
|                                                                | rougeL | high |   23.73   | 65.00  |   27.75   |
