+-----------------------------------------------------------------------------------------------------------------+
|                                       fine-tuned-ava-with-co-cola-24temps                                       |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   8.65    | 26.69  |   12.86   |
|                                                                | rougeL | mid  |   11.27   | 35.78  |   16.60   |
|                                                                | rougeL | high |   14.10   | 45.55  |   20.48   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   14.25   | 14.37  |   14.01   |
|                                                                | rougeL | mid  |   18.42   | 18.42  |   17.93   |
|                                                                | rougeL | high |   22.95   | 22.73  |   22.02   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   30.83   | 40.00  |   34.40   |
|                                                                | rougeL | mid  |   49.17   | 60.00  |   52.86   |
|                                                                | rougeL | high |   68.33   | 80.00  |   71.43   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   20.38   | 100.00 |   31.41   |
|                                                                | rougeL | mid  |   26.14   | 100.00 |   39.67   |
|                                                                | rougeL | high |   31.89   | 100.00 |   47.93   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   22.78   | 55.00  |   30.54   |
|                                                                | rougeL | mid  |   32.90   | 75.00  |   44.10   |
|                                                                | rougeL | high |   42.64   | 90.00  |   56.94   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   10.00   |  5.00  |    6.67   |
|                                                                | rougeL | high |   25.00   | 12.50  |   16.67   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.72    |  5.25  |    1.28   |
|                                                                | rougeL | mid  |   3.58    | 10.50  |    3.37   |
|                                                                | rougeL | high |   8.80    | 16.50  |    6.60   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   29.00   | 60.00  |   38.33   |
|                                                                | rougeL | mid  |   44.00   | 80.00  |   52.86   |
|                                                                | rougeL | high |   61.00   | 95.00  |   68.58   |
