+-----------------------------------------------------------------------------------------------------------------+
|                                     fine-tuned-ava-with-co-cola-v2-on18temps                                    |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   6.73    | 21.82  |    9.96   |
|                                                                | rougeL | mid  |   11.28   | 38.21  |   16.60   |
|                                                                | rougeL | high |   17.01   | 54.98  |   24.35   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   10.04   | 12.45  |   10.88   |
|                                                                | rougeL | mid  |   15.27   | 19.31  |   16.86   |
|                                                                | rougeL | high |   21.50   | 27.12  |   23.35   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   4.90    | 40.00  |    8.64   |
|                                                                | rougeL | mid  |   19.99   | 67.50  |   24.89   |
|                                                                | rougeL | high |   42.23   | 92.56  |   46.19   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   15.78   | 70.00  |   23.19   |
|                                                                | rougeL | mid  |   25.51   | 90.00  |   37.67   |
|                                                                | rougeL | high |   35.01   | 100.00 |   51.67   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   13.33   | 20.00  |   15.00   |
|                                                                | rougeL | high |   33.33   | 50.00  |   35.00   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   7.22    | 10.00  |    8.64   |
|                                                                | rougeL | mid  |   19.44   | 25.00  |   20.82   |
|                                                                | rougeL | high |   34.44   | 40.00  |   35.82   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.48    |  3.96  |    0.86   |
|                                                                | rougeL | mid  |   1.54    | 12.50  |    2.75   |
|                                                                | rougeL | high |   2.84    | 22.50  |    5.04   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   20.00   | 20.00  |   20.00   |
|                                                                | rougeL | mid  |   45.00   | 45.00  |   45.00   |
