+-----------------------------------------------------------------------------------------------------------------+
|                                       fine-tuned-ava-with-co-cola-23temps                                       |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   9.13    | 24.48  |   12.77   |
|                                                                | rougeL | mid  |   12.00   | 34.21  |   16.73   |
|                                                                | rougeL | high |   14.52   | 44.74  |   20.39   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   12.28   | 13.32  |   12.48   |
|                                                                | rougeL | mid  |   16.92   | 18.20  |   17.08   |
|                                                                | rougeL | high |   21.91   | 24.15  |   22.39   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   27.04   | 85.00  |   37.76   |
|                                                                | rougeL | mid  |   37.93   | 95.00  |   49.01   |
|                                                                | rougeL | high |   49.67   | 100.00 |   60.48   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   33.33   | 100.00 |   50.00   |
|                                                                | rougeL | mid  |   35.00   | 100.00 |   51.67   |
|                                                                | rougeL | high |   37.50   | 100.00 |   54.17   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   12.50   | 30.00  |   16.67   |
|                                                                | rougeL | mid  |   22.75   | 50.00  |   30.48   |
|                                                                | rougeL | high |   35.00   | 75.00  |   46.67   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.45    |  2.50  |    0.77   |
|                                                                | rougeL | high |   1.36    |  7.50  |    2.31   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.46    |  3.25  |    0.80   |
|                                                                | rougeL | mid  |   3.30    |  8.00  |    2.95   |
|                                                                | rougeL | high |   8.71    | 15.50  |    6.34   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   37.50   | 40.00  |   38.33   |
|                                                                | rougeL | mid  |   56.00   | 60.00  |   56.67   |
|                                                                | rougeL | high |   75.00   | 77.50  |   75.00   |
