+-----------------------------------------------------------------------------------------------------------------+
|                                     fine-tuned-ava-with-co-cola-v2-on24temps                                    |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   5.68    | 20.11  |    8.59   |
|                                                                | rougeL | mid  |   9.64    | 34.72  |   14.29   |
|                                                                | rougeL | high |   14.13   | 51.94  |   20.44   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   9.04    | 10.98  |    9.68   |
|                                                                | rougeL | mid  |   15.68   | 17.08  |   15.93   |
|                                                                | rougeL | high |   22.88   | 23.78  |   22.61   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   23.33   | 30.00  |   26.00   |
|                                                                | rougeL | mid  |   50.00   | 60.00  |   54.00   |
|                                                                | rougeL | high |   73.33   | 90.00  |   80.00   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   16.06   | 100.00 |   25.22   |
|                                                                | rougeL | mid  |   24.70   | 100.00 |   37.61   |
|                                                                | rougeL | high |   33.33   | 100.00 |   50.00   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   16.08   | 50.00  |   22.08   |
|                                                                | rougeL | mid  |   30.80   | 80.00  |   41.54   |
|                                                                | rougeL | high |   45.00   | 100.00 |   60.00   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | high |   0.00    |  0.00  |    0.00   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.71    |  4.50  |    1.19   |
|                                                                | rougeL | mid  |   6.04    | 11.00  |    4.70   |
|                                                                | rougeL | high |   16.21   | 17.50  |   10.62   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   20.00   | 50.00  |   27.14   |
|                                                                | rougeL | mid  |   38.00   | 80.00  |   47.14   |
