+-----------------------------------------------------------------------------------------------------------------+
|                                       fine-tuned-ava-with-co-cola-17temps                                       |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   7.18    | 22.35  |   10.73   |
|                                                                | rougeL | mid  |   10.44   | 31.78  |   15.26   |
|                                                                | rougeL | high |   13.78   | 42.39  |   19.98   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   17.04   | 12.86  |   14.13   |
|                                                                | rougeL | mid  |   26.12   | 16.68  |   18.57   |
|                                                                | rougeL | high |   37.95   | 20.73  |   23.42   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   25.00   | 25.00  |   25.00   |
|                                                                | rougeL | mid  |   45.00   | 45.00  |   45.00   |
|                                                                | rougeL | high |   65.00   | 65.00  |   65.00   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   17.51   | 85.00  |   25.86   |
|                                                                | rougeL | mid  |   25.32   | 95.00  |   36.87   |
|                                                                | rougeL | high |   32.72   | 100.00 |   46.72   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   16.67   | 30.00  |   20.00   |
|                                                                | rougeL | mid  |   33.33   | 50.00  |   37.50   |
|                                                                | rougeL | high |   51.67   | 75.00  |   55.06   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.68    |  5.00  |    1.25   |
|                                                                | rougeL | mid  |   4.59    | 15.00  |    5.99   |
|                                                                | rougeL | high |   11.21   | 27.50  |   12.79   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   1.51    |  5.50  |    2.25   |
|                                                                | rougeL | mid  |   3.88    | 11.25  |    4.99   |
|                                                                | rougeL | high |   7.13    | 18.01  |    8.57   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   42.44   | 42.44  |   42.44   |
|                                                                | rougeL | mid  |   62.50   | 62.50  |   62.50   |
|                                                                | rougeL | high |   82.56   | 82.56  |   82.56   |
