+-----------------------------------------------------------------------------------------------------------------+
|                                       fine-tuned-ava-with-co-cola-21temps                                       |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   7.45    | 17.07  |   10.16   |
|                                                                | rougeL | mid  |   9.89    | 26.95  |   13.40   |
|                                                                | rougeL | high |   12.18   | 37.04  |   16.53   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   16.74   |  8.41  |    9.96   |
|                                                                | rougeL | mid  |   24.82   | 13.12  |   15.28   |
|                                                                | rougeL | high |   32.95   | 18.67  |   20.99   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   2.69    | 15.00  |    4.35   |
|                                                                | rougeL | mid  |   9.78    | 33.75  |   13.75   |
|                                                                | rougeL | high |   19.50   | 55.00  |   24.37   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   15.16   | 75.00  |   23.33   |
|                                                                | rougeL | mid  |   21.85   | 90.00  |   32.86   |
|                                                                | rougeL | high |   29.02   | 100.00 |   42.97   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   1.88    | 15.00  |    3.22   |
|                                                                | rougeL | mid  |   6.57    | 35.00  |   10.63   |
|                                                                | rougeL | high |   11.40   | 55.00  |   18.29   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   1.00    |  2.50  |    1.43   |
|                                                                | rougeL | high |   3.00    |  7.50  |    4.29   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   0.14    |  1.00  |    0.24   |
|                                                                | rougeL | high |   0.42    |  3.00  |    0.73   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   23.45   | 72.50  |   34.94   |
|                                                                | rougeL | mid  |   30.45   | 87.50  |   44.23   |
|                                                                | rougeL | high |   37.33   | 100.00 |   52.38   |
