+-----------------------------------------------------------------------------------------------------------------+
|                                       fine-tuned-ava-with-co-cola-22temps                                       |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   8.27    | 22.67  |   11.65   |
|                                                                | rougeL | mid  |   10.89   | 32.24  |   15.34   |
|                                                                | rougeL | high |   13.99   | 42.75  |   19.20   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   13.31   | 11.87  |   12.12   |
|                                                                | rougeL | mid  |   17.85   | 16.38  |   16.14   |
|                                                                | rougeL | high |   22.42   | 21.36  |   20.45   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   15.81   | 30.00  |   19.28   |
|                                                                | rougeL | mid  |   32.50   | 55.00  |   37.29   |
|                                                                | rougeL | high |   50.02   | 75.00  |   55.29   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   33.33   | 100.00 |   50.00   |
|                                                                | rougeL | mid  |   35.00   | 100.00 |   51.67   |
|                                                                | rougeL | high |   37.50   | 100.00 |   54.17   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   2.50    |  5.00  |    3.33   |
|                                                                | rougeL | mid  |   12.50   | 25.00  |   16.67   |
|                                                                | rougeL | high |   22.50   | 45.00  |   30.00   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.00    |  0.00  |    0.00   |
|                                                                | rougeL | mid  |   5.00    |  2.50  |    3.33   |
|                                                                | rougeL | high |   15.00   |  7.50  |   10.00   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.75    |  3.99  |    1.35   |
|                                                                | rougeL | mid  |   4.88    | 10.25  |    4.50   |
|                                                                | rougeL | high |   11.51   | 18.75  |    9.04   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   30.00   | 30.00  |   30.00   |
|                                                                | rougeL | mid  |   47.50   | 47.50  |   47.50   |
|                                                                | rougeL | high |   65.00   | 65.00  |   65.00   |
