+-----------------------------------------------------------------------------------------------------------------+
|                                       fine-tuned-ava-with-co-cola-19temps                                       |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   9.89    | 29.75  |   14.51   |
|                                                                | rougeL | mid  |   12.79   | 38.47  |   18.52   |
|                                                                | rougeL | high |   16.11   | 47.74  |   22.95   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   14.02   | 14.95  |   14.26   |
|                                                                | rougeL | mid  |   17.51   | 18.68  |   17.61   |
|                                                                | rougeL | high |   20.73   | 23.51  |   21.33   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   9.01    | 60.00  |   14.71   |
|                                                                | rougeL | mid  |   18.37   | 78.75  |   25.37   |
|                                                                | rougeL | high |   31.54   | 95.00  |   38.99   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   10.97   | 60.00  |   16.68   |
|                                                                | rougeL | mid  |   18.13   | 80.00  |   27.01   |
|                                                                | rougeL | high |   26.09   | 95.00  |   38.52   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   7.05    | 15.00  |    8.25   |
|                                                                | rougeL | mid  |   22.76   | 35.00  |   25.00   |
|                                                                | rougeL | high |   41.79   | 60.00  |   45.00   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   5.28    |  7.50  |    5.91   |
|                                                                | rougeL | mid  |   14.44   | 17.50  |   15.00   |
|                                                                | rougeL | high |   24.17   | 27.50  |   25.32   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   0.56    |  5.50  |    1.02   |
|                                                                | rougeL | mid  |   1.40    | 12.25  |    2.51   |
|                                                                | rougeL | high |   2.44    | 20.50  |    4.37   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   35.33   | 40.00  |   35.62   |
|                                                                | rougeL | mid  |   55.00   | 60.00  |   55.00   |
|                                                                | rougeL | high |   75.00   | 80.00  |   75.00   |
