+-----------------------------------------------------------------------------------------------------------------+
|                                       fine-tuned-ava-with-co-cola-18temps                                       |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                            Section                             | Score  | Type | Precision | Recall | F-Measure |
+----------------------------------------------------------------+--------+------+-----------+--------+-----------+
|                        PNLPhub/FarsTail                        |        |      |           |        |           |
|             PNLPhub/FarsTail - label_to_hypothesis             |        |      |           |        |           |
|                                                                | rougeL | low  |   8.38    | 21.33  |   11.59   |
|                                                                | rougeL | mid  |   11.26   | 31.53  |   15.63   |
|                                                                | rougeL | high |   14.38   | 42.41  |   19.75   |
|              PNLPhub/FarsTail - label_to_premise               |        |      |           |        |           |
|                                                                | rougeL | low  |   16.52   | 15.45  |   15.17   |
|                                                                | rougeL | mid  |   23.78   | 19.87  |   19.23   |
|                                                                | rougeL | high |   33.28   | 24.64  |   23.47   |
|                PNLPhub/FarsTail - can_you_infer                |        |      |           |        |           |
|                                                                | rougeL | low  |   13.55   | 20.00  |   15.00   |
|                                                                | rougeL | mid  |   31.00   | 40.00  |   31.67   |
|                                                                | rougeL | high |   51.68   | 60.12  |   53.02   |
|               PNLPhub/FarsTail - does_this_imply               |        |      |           |        |           |
|                                                                | rougeL | low  |   29.01   | 100.00 |   43.81   |
|                                                                | rougeL | mid  |   31.90   | 100.00 |   47.95   |
|                                                                | rougeL | high |   33.33   | 100.00 |   50.00   |
|               PNLPhub/FarsTail - do_they_relate                |        |      |           |        |           |
|                                                                | rougeL | low  |   25.00   | 75.00  |   37.50   |
|                                                                | rougeL | mid  |   30.00   | 90.00  |   45.00   |
|                                                                | rougeL | high |   33.33   | 100.00 |   50.00   |
|                 PNLPhub/FarsTail - confidence                  |        |      |           |        |           |
|                                                                | rougeL | low  |   2.57    | 12.50  |    3.67   |
|                                                                | rougeL | mid  |   11.41   | 25.00  |   11.43   |
|                                                                | rougeL | high |   24.37   | 35.06  |   20.79   |
|                 PNLPhub/FarsTail - comparison                  |        |      |           |        |           |
|                                                                | rougeL | low  |   1.31    |  8.00  |    2.26   |
|                                                                | rougeL | mid  |   3.10    | 14.50  |    4.62   |
|                                                                | rougeL | high |   5.39    | 22.00  |    7.40   |
|               PNLPhub/FarsTail - claim_relation                |        |      |           |        |           |
|                                                                | rougeL | low  |   41.00   | 45.00  |   41.67   |
|                                                                | rougeL | mid  |   61.00   | 65.00  |   61.67   |
|                                                                | rougeL | high |   80.00   | 82.50  |   80.00   |
